"SITE_TRANS","YEAR","siteID","yrID"
"IVEE_3",2020,16,21
"IVEE_5",2020,17,21
"IVEE_6",2020,18,21
"IVEE_7",2020,19,21
"IVEE_8",2020,20,21
"MOHK_1",2020,21,21
"MOHK_2",2020,22,21
"NAPL_1",2020,23,21
"NAPL_2",2020,24,21
"NAPL_3",2020,25,21
"NAPL_4",2020,26,21
"NAPL_5",2020,27,21
"NAPL_6",2020,28,21
"NAPL_7",2020,29,21
"NAPL_8",2020,30,21
"SCDI_2",2020,31,21
"SCDI_3",2020,32,21
"SCTW_2",2020,33,21
"SCTW_3",2020,34,21
"ABUR_1",2021,1,22
"ABUR_2",2021,2,22
"AQUE_1",2021,3,22
"AQUE_2",2021,4,22
"AQUE_3",2021,5,22
"AQUE_4",2021,6,22
"AQUE_5",2021,7,22
"AQUE_6",2021,8,22
"BULL_1",2021,9,22
"BULL_3",2021,10,22
"BULL_6",2021,11,22
"GOLB_1",2021,12,22
"GOLB_2",2021,13,22
"IVEE_1",2021,14,22
"IVEE_2",2021,15,22
"IVEE_3",2021,16,22
"IVEE_5",2021,17,22
"IVEE_6",2021,18,22
"IVEE_7",2021,19,22
"IVEE_8",2021,20,22
"MOHK_1",2021,21,22
"MOHK_2",2021,22,22
"NAPL_1",2021,23,22
"NAPL_2",2021,24,22
"NAPL_3",2021,25,22
"NAPL_4",2021,26,22
"NAPL_5",2021,27,22
"NAPL_6",2021,28,22
"NAPL_7",2021,29,22
"NAPL_8",2021,30,22
"SCDI_2",2021,31,22
"SCDI_3",2021,32,22
"SCTW_2",2021,33,22
"SCTW_3",2021,34,22
"ABUR_1",2022,1,23
"ABUR_2",2022,2,23
"AQUE_1",2022,3,23
"AQUE_2",2022,4,23
"AQUE_3",2022,5,23
"AQUE_4",2022,6,23
"AQUE_5",2022,7,23
"AQUE_6",2022,8,23
"BULL_1",2022,9,23
"BULL_3",2022,10,23
"BULL_6",2022,11,23
"GOLB_1",2022,12,23
"GOLB_2",2022,13,23
"IVEE_1",2022,14,23
"IVEE_2",2022,15,23
"IVEE_3",2022,16,23
"IVEE_5",2022,17,23
"IVEE_6",2022,18,23
"IVEE_7",2022,19,23
"IVEE_8",2022,20,23
"MOHK_1",2022,21,23
"MOHK_2",2022,22,23
"NAPL_1",2022,23,23
"NAPL_2",2022,24,23
"NAPL_3",2022,25,23
"NAPL_4",2022,26,23
"NAPL_5",2022,27,23
"NAPL_6",2022,28,23
"NAPL_7",2022,29,23
"NAPL_8",2022,30,23
"SCDI_2",2022,31,23
"SCDI_3",2022,32,23
"SCTW_2",2022,33,23
"SCTW_3",2022,34,23
"ABUR_1",2001,1,2
"ABUR_2",2001,2,2
"AQUE_1",2001,3,2
"AQUE_2",2001,4,2
"AQUE_3",2001,5,2
"AQUE_4",2001,6,2
"AQUE_5",2001,7,2
"BULL_1",2001,9,2
"BULL_3",2001,10,2
"BULL_6",2001,11,2
"GOLB_1",2001,12,2
"GOLB_2",2001,13,2
"IVEE_1",2001,14,2
"IVEE_2",2001,15,2
"MOHK_1",2001,21,2
"MOHK_2",2001,22,2
"NAPL_1",2001,23,2
"NAPL_2",2001,24,2
"NAPL_3",2001,25,2
"NAPL_4",2001,26,2
"NAPL_5",2001,27,2
"NAPL_6",2001,28,2
"NAPL_7",2001,29,2
"NAPL_8",2001,30,2
"AQUE_1",2002,3,3
"AQUE_2",2002,4,3
"AQUE_3",2002,5,3
"AQUE_4",2002,6,3
"AQUE_5",2002,7,3
"AQUE_6",2002,8,3
"BULL_1",2002,9,3
"BULL_3",2002,10,3
"BULL_6",2002,11,3
"GOLB_1",2002,12,3
"GOLB_2",2002,13,3
"IVEE_1",2002,14,3
"IVEE_2",2002,15,3
"MOHK_1",2002,21,3
"MOHK_2",2002,22,3
"NAPL_1",2002,23,3
"NAPL_2",2002,24,3
"NAPL_3",2002,25,3
"NAPL_4",2002,26,3
"NAPL_5",2002,27,3
"NAPL_6",2002,28,3
"NAPL_7",2002,29,3
"NAPL_8",2002,30,3
"AQUE_2",2003,4,4
"AQUE_3",2003,5,4
"AQUE_4",2003,6,4
"AQUE_5",2003,7,4
"AQUE_6",2003,8,4
"BULL_1",2003,9,4
"BULL_3",2003,10,4
"BULL_6",2003,11,4
"GOLB_1",2003,12,4
"GOLB_2",2003,13,4
"IVEE_1",2003,14,4
"IVEE_2",2003,15,4
"MOHK_2",2003,22,4
"NAPL_1",2003,23,4
"NAPL_2",2003,24,4
"NAPL_3",2003,25,4
"NAPL_4",2003,26,4
"NAPL_5",2003,27,4
"NAPL_6",2003,28,4
"NAPL_7",2003,29,4
"NAPL_8",2003,30,4
"SCDI_2",2004,31,5
"SCDI_3",2004,32,5
"SCTW_2",2004,33,5
"SCTW_3",2004,34,5
"GOLB_1",2005,12,6
"GOLB_2",2005,13,6
"NAPL_1",2008,23,9
"NAPL_2",2008,24,9
"NAPL_3",2008,25,9
"NAPL_4",2008,26,9
"BULL_1",2018,9,19
"BULL_3",2018,10,19
"BULL_6",2018,11,19
"BULL_1",2000,9,1
"BULL_3",2000,10,1
"BULL_6",2000,11,1
"NAPL_1",2000,23,1
"NAPL_2",2000,24,1
"NAPL_3",2000,25,1
"NAPL_4",2000,26,1
"NAPL_5",2000,27,1
"NAPL_6",2000,28,1
"NAPL_7",2000,29,1
"NAPL_8",2000,30,1
"IVEE_3",2011,16,12
"IVEE_5",2011,17,12
"IVEE_6",2011,18,12
"IVEE_7",2011,19,12
"IVEE_8",2011,20,12
